SID,DID,ID,Birthyr,Birthyrcat,Energy,yr,age,antler kg,bm kg
1210015,2211067,3214093,2014,C,S,2019,5.5,1.3986,106.59412
1209009,2211091,3213002,2013,B,S,2017,4.5,1.4362,103.872568
1210015,2208035,3214010,2014,C,S,2018,4.5,1.7263,103.872568
1210015,2208035,3214010,2014,C,S,2019,5.5,1.4208,103.418976
1209058,2210059,3213142,2013,B,S,2017,4.5,1.6368,100.697424
1212053,2213003,3216030,2016,D,S,2020,5.5,1.9465,99.88102446
1212053,2213054,3216052,2016,D,S,2020,5.5,1.4997,98.8831214
1210045,2210059,3214072,2014,C,S,2018,4.5,1.8038,98.883056
1210015,2211067,3214093,2014,C,S,2018,4.5,0.7503,96.161504
1210069,2211065,3214017,2014,C,S,2019,5.5,1.1242,95.25432
1210045,2209026,3212088,2012,A,S,2017,5.5,1.3134,94.800728
1212012,2213064,3216015,2016,D,S,2021,5.5,1.3952,94.3471984
1212053,2213054,3216052,2016,D,S,2020,4.5,1.1335,93.439952
1209058,2211047,3213067,2013,B,S,2017,4.5,2.1358,92.532768
1210015,2211018,3214100,2014,C,L,2019,5.5,1.3261,92.079176
1210069,2211002,3214067,2014,C,S,2019,5.5,0.9173,91.625584
1209020,2210057,3213023,2013,B,S,2017,4.5,1.5631,90.7184
1210045,2209026,3212088,2012,A,S,2016,4.5,1.18,90.264808
1210069,2211094,3214084,2014,C,L,2019,5.5,1.3123,90.264808
1210045,2210074,3214141,2014,C,S,2019,5.5,1.7551,90.264808
1210045,2210108,3214109,2014,C,S,2019,5.5,1.6492,90.038012
1212016,2212047,3216026,2016,D,S,2020,5.5,1.2443,89.99271232
1209020,2207013,3212020,2012,A,S,2016,4.5,1.488,89.811216
1210045,2207029,3212053,2012,A,S,2017,5.5,1.4923,89.357624
1209025,2210010,3213009,2013,B,S,2017,4.5,1.4949,89.357624
1210045,2210082,3214130,2014,C,L,2019,5.5,1.5487,89.130828
1210045,2210074,3214142,2014,C,L,2019,5.5,1.2907,88.904032
1209007,2209064,3213061,2013,B,S,2017,4.5,1.4079,88.45044
1210089,2209024,3214013,2014,C,L,2019,5.5,1.2422,88.45044
1210060,2210104,3214029,2014,C,S,2018,4.5,1.4045,88.223644
1210060,2208009,3214107,2014,C,S,2018,4.5,1.4566,88.223644
1209020,2207013,3212020,2012,A,S,2017,5.5,1.8054,87.996848
1210045,2210082,3214130,2014,C,L,2018,4.5,1.5349,86.862868
1210069,2211011,3214097,2014,C,L,2019,5.5,1.3637,86.409276
