SID,DID,ID,birth wt ,Birthyr,Birthyrcat,Energy,yr,age,antler_kg,bm kg
1210039,2209018,3212011,2.839488236,2012,A,L,2016,4.5,0.954,65.317248
1210039,2209018,3212012,2.440326951,2012,A,S,2016,4.5,1.518,76.203456
1210045,2209059,3212015,2.775985304,2012,A,L,2016,4.5,1.488,71.667536
1209020,2210086,3212018,3.646882655,2012,A,L,2016,4.5,1.2,74.389088
1209020,2207013,3212020,2.648979441,2012,A,S,2016,4.5,1.488,89.811216
1209020,2208009,3212021,2.639907593,2012,A,L,2016,4.5,0.858,75.749864
1209020,2208025,3212027,1.950447191,2012,A,L,2016,4.5,1.062,75.749864
1210097,2207005,3212040,2.240746308,2012,A,L,2016,4.5,1.21,73.481904
1210097,2209047,3212043,3.456373859,2012,A,L,2016,4.5,0.728,79.3786
1209029,2208036,3212048,2.186315223,2012,A,S,2016,4.5,2.1432,76.203456
1210045,2207029,3212053,1.678291769,2012,A,S,2016,4.5,1.2672,84.821704
1210039,2210003,3212057,3.429158317,2012,A,S,2016,4.5,1.3154,85.728888
1210097,2209016,3212058,2.821344541,2012,A,L,2016,4.5,0.91,63.956472
1209029,2210076,3212065,2.113740444,2012,A,L,2016,4.5,0.716,51.709488
1209029,2210010,3212069,2.131884139,2012,A,S,2016,4.5,1.1312,64.863656
1209020,2210074,3212073,2.794128999,2012,A,L,2016,4.5,0.738,69.399576
1210039,2210067,3212082,2.313321087,2012,A,S,2016,4.5,0.938,79.832192
1209029,2210036,3212083,1.787153938,2012,A,L,2016,4.5,0.418,49.89512
1210045,2209026,3212088,2.331464782,2012,A,S,2016,4.5,1.18,90.264808
1209009,2211091,3213002,2.585476509,2013,B,S,2017,4.5,1.4362,103.872568
1209020,2209069,3213004,2.703410525,2013,B,L,2017,4.5,1.5041,71.894332
1209020,2209069,3213005,3.456373859,2013,B,S,2017,4.5,1.3347,74.389088
1209025,2210010,3213009,2.540117272,2013,B,S,2017,4.5,1.4949,89.357624
1209020,2209054,3213014,3.229577674,2013,B,L,2017,4.5,0.9852,72.121128
1209020,2210057,3213023,3.274936911,2013,B,S,2017,4.5,1.5631,90.7184
1209020,2211063,3213031,2.385895866,2013,B,L,2017,4.5,0.6461,69.626372
1209009,2211058,3213035,3.147931048,2013,B,S,2017,4.5,1.4282,83.91452
1209058,2209024,3213049,3.302152454,2013,B,L,2017,4.5,0.6506,75.97666
1209007,2211201,3213056,1.787153938,2013,B,L,2017,4.5,0.9698,65.317248
1209020,2211002,3213060,2.150027834,2013,B,L,2017,4.5,1.1937,69.853168
1209007,2209064,3213061,3.274936911,2013,B,S,2017,4.5,1.4079,88.45044
1209058,2210094,3213062,3.256793217,2013,B,L,2017,4.5,1.2361,56.018612
1209058,2211047,3213067,2.658051288,2013,B,S,2017,4.5,2.1358,92.532768
1209045,2211113,3213069,2.277033697,2013,B,L,2017,4.5,1.009,67.131616
1209009,2208011,3213075,3.293080606,2013,B,L,2017,4.5,1.4712,84.141316
1209009,2210018,3213080,2.857631931,2013,B,L,2017,4.5,1.871,80.966172
1209025,2211120,3213087,3.42008647,2013,B,L,2017,4.5,0.5032,65.77084
1209058,2211015,3213117,2.385895866,2013,B,S,2017,4.5,1.3622,72.347924
1209009,2211081,3213130,3.011853337,2013,B,L,2017,4.5,1.0385,72.57472
1209058,2210059,3213142,3.256793217,2013,B,S,2017,4.5,1.6368,100.697424
1209025,2210076,3213150,2.358680324,2013,B,L,2017,4.5,1.209,65.090452
1209025,2211130,3213152,3.075356269,2013,B,S,2017,4.5,1.2341,84.141316
1209025,2211008,3213155,3.447302012,2013,B,S,2017,4.5,1.0503,79.151804
1209045,2211039,3213156,3.21143398,2013,B,L,2017,4.5,0.6164,83.460928
1209058,2211006,3213158,3.392870928,2013,B,L,2017,4.5,0.73,72.347924
1210015,2208035,3214010,3.057212574,2014,C,S,2018,4.5,1.7263,103.872568
1210089,2209024,3214013,2.785057152,2014,C,L,2018,4.5,1,85.728888
1210069,2211065,3214017,3.093499963,2014,C,S,2018,4.5,1.37,82.326948
1210060,2210104,3214029,2.875775626,2014,C,S,2018,4.5,1.4045,88.223644
1210060,2211038,3214030,2.195387071,2014,C,L,2018,4.5,1.013,79.3786
1210045,2210057,3214031,2.050237512,2015,C,L,2018,4.5,0.5691,66.451228
1210089,2209026,3214036,2.159099681,2014,C,L,2018,4.5,0.986,68.492392
1210069,2211009,3214052,1.678291769,2014,C,L,2018,4.5,0.8734,68.945984
1210069,2208011,3214059,2.748769762,2014,C,S,2018,4.5,0.8551,80.51258
1210069,2208011,3214060,2.385895866,2014,C,L,2018,4.5,0.8384,62.595696
1210069,2211002,3214067,2.404039561,2014,C,S,2018,4.5,0.836,82.78054
1210069,2210064,3214069,2.558260967,2014,C,L,2018,4.5,1.147,75.749864
1210045,2210059,3214072,2.630835746,2014,C,S,2018,4.5,1.8038,98.883056
1210060,2211102,3214075,2.857631931,2014,C,L,2018,4.5,1.477,76.883844
1210069,2211047,3214077,2.367752171,2014,C,S,2018,4.5,0.9067,60.554532
1210069,2211094,3214084,2.422183256,2014,C,L,2018,4.5,1.143,81.873356
1210015,2211067,3214093,3.356583538,2014,C,S,2018,4.5,0.7503,96.161504
1210015,2211067,3214094,3.565236028,2014,C,L,2018,4.5,0.745,75.069476
1210069,2211011,3214097,2.712482373,2014,C,L,2018,4.5,1.1996,74.162292
1210015,2211018,3214100,3.120715506,2014,C,L,2018,4.5,1.2147,60.10094
1210060,2208009,3214107,2.839488236,2014,C,S,2018,4.5,1.4566,88.223644
1210045,2210108,3214109,2.975565947,2014,C,S,2018,4.5,1.654,82.100152
1210045,2210066,3214112,2.857631931,2014,C,L,2018,4.5,1.6553,63.50288
1210089,2211029,3214116,1.85065687,2014,C,L,2018,4.5,0.741,59.647348
1210015,2209015,3214127,2.331464782,2014,C,L,2018,4.5,1.084,74.615884
1210045,2210082,3214130,2.694338678,2014,C,L,2018,4.5,1.5349,86.862868
1210089,2210072,3214131,2.821344541,2014,C,S,2018,4.5,0.9052,70.987148
1210060,2211063,3214139,2.803200847,2014,C,S,2018,4.5,0.9816,81.419764
1210045,2210074,3214141,3.084428116,2014,C,S,2018,4.5,1.4325,83.91452
1210045,2210074,3214142,3.456373859,2014,C,L,2018,4.5,0.895,77.791028
1210089,2209056,3214144,3.057212574,2014,C,S,2018,4.5,1.7096,83.460928
1210089,2211008,3214150,3.447302012,2014,C,L,2018,4.5,0.933,63.276084
1210060,2210094,3214153,3.011853337,2014,C,L,2018,4.5,0.792,71.894332
