SID,DID,ID,Birthyr,Birthyrcat,Energy,yr,age,antler kg,bm kg
210015,211067,214093,2014,C,S,2019,5.5,1.3986,106.59412
209009,211091,213002,2013,B,S,2017,4.5,1.4362,103.872568
210015,208035,214010,2014,C,S,2018,4.5,1.7263,103.872568
210015,208035,214010,2014,C,S,2019,5.5,1.4208,103.418976
210015,208035,214010,2014,C,S,2017,3.5,1.6229,101.604608
209058,210059,213142,2013,B,S,2017,4.5,1.6368,100.697424
212053,213003,216030,2016,D,S,2020,5.5,1.9465,99.88102446
212053,213054,216052,2016,D,S,2020,5.5,1.4997,98.8831214
210045,210059,214072,2014,C,S,2018,4.5,1.8038,98.883056
210015,211067,214093,2014,C,S,2017,3.5,1.2308,98.883056
209009,211091,213002,2013,B,S,2016,3.5,1.158,97.52228
210069,211065,214017,2014,C,S,2017,3.5,1.3535,96.161504
210015,211067,214093,2014,C,S,2018,4.5,0.7503,96.161504
210069,211065,214017,2014,C,S,2019,5.5,1.1242,95.25432
210045,209026,212088,2012,A,S,2017,5.5,1.3134,94.800728
210015,208035,214010,2014,C,S,2016,2.5,0.942,94.800728
210045,210059,214072,2014,C,S,2017,3.5,1.5626,94.800728
212012,213064,216015,2016,D,S,2021,5.5,1.3952,94.3471984
210045,208035,212002,2012,A,S,2015,3.5,1.924,94.347136
210069,211011,214098,2014,C,S,2017,3.5,1.3151,93.893544
209058,210059,213142,2013,B,S,2016,3.5,1.3,93.439952
212053,213054,216052,2016,D,S,2020,4.5,1.1335,93.439952
212053,213054,216052,2016,D,S,2019,3.5,1.2073,92.98636
209058,211047,213067,2013,B,S,2017,4.5,2.1358,92.532768
210015,211018,214100,2014,C,L,2019,5.5,1.3261,92.079176
210069,211002,214067,2014,C,S,2019,5.5,0.9173,91.625584
209020,210057,213023,2013,B,S,2017,4.5,1.5631,90.7184
210045,209026,212088,2012,A,S,2016,4.5,1.18,90.264808
210069,211094,214084,2014,C,L,2019,5.5,1.3123,90.264808
210045,210074,214141,2014,C,S,2019,5.5,1.7551,90.264808
210045,210108,214109,2014,C,S,2019,5.5,1.6492,90.038012
212016,212047,216026,2016,D,S,2020,5.5,1.2443,89.99271232
209020,207013,212020,2012,A,S,2016,4.5,1.488,89.811216
209020,208025,212027,2012,A,L,2015,3.5,1.092,89.811216
210045,207029,212053,2012,A,S,2017,5.5,1.4923,89.357624
209025,210010,213009,2013,B,S,2017,4.5,1.4949,89.357624
210045,210082,214130,2014,C,L,2019,5.5,1.5487,89.130828
209009,211058,213035,2013,B,S,2016,3.5,1.304,88.904032
210045,210074,214142,2014,C,L,2019,5.5,1.2907,88.904032
209007,209064,213061,2013,B,S,2017,4.5,1.4079,88.45044
210089,209024,214013,2014,C,L,2019,5.5,1.2422,88.45044
210060,210104,214029,2014,C,S,2018,4.5,1.4045,88.223644
210060,208009,214107,2014,C,S,2018,4.5,1.4566,88.223644
209020,207013,212020,2012,A,S,2017,5.5,1.8054,87.996848
209058,211047,213067,2013,B,S,2016,3.5,1.83,87.089664
210015,210018,214099,2014,C,S,2017,3.5,1.1359,86.862868
210045,210082,214130,2014,C,L,2018,4.5,1.5349,86.862868
209009,209047,213099,2013,B,S,2016,3.5,1.152,86.636072
210069,211011,214097,2014,C,L,2019,5.5,1.3637,86.409276
209020,207013,212020,2012,A,S,2015,3.5,1.538,86.18248
210045,209026,212088,2012,A,S,2015,3.5,0.912,86.18248
210039,210003,212057,2012,A,S,2016,4.5,1.3154,85.728888
209009,211091,213002,2013,B,S,2015,2.5,0.818,85.728888
210089,209024,214013,2014,C,L,2018,4.5,1,85.728888
210045,207029,212053,2012,A,S,2016,4.5,1.2672,84.821704
209009,210018,213079,2013,B,S,2016,3.5,1.25,84.821704
209025,208035,213090,2013,B,S,2015,2.5,0.738,84.821704
210060,211102,214075,2014,C,L,2019,5.5,1.6647,84.821704
210060,210104,214029,2014,C,S,2019,5.5,1.4466,84.594908
209009,211138,213147,2013,B,S,2016,3.5,1.828,84.368112
212053,213003,216030,2016,D,S,2019,3.5,1.558,84.368112
209009,208011,213075,2013,B,L,2017,4.5,1.4712,84.141316
209025,211130,213152,2013,B,S,2017,4.5,1.2341,84.141316
212012,213064,216015,2016,D,S,2020,4.5,1.1398,84.141316
212016,212047,216026,2016,D,S,2020,4.5,1.1846,84.141316
209009,211058,213035,2013,B,S,2017,4.5,1.4282,83.91452
210045,210074,214141,2014,C,S,2018,4.5,1.4325,83.91452
210039,210067,212082,2012,A,S,2017,5.5,0.9216,83.460928
209025,210010,213009,2013,B,S,2016,3.5,1.156,83.460928
209045,211039,213156,2013,B,L,2017,4.5,0.6164,83.460928
210069,211094,214085,2014,C,S,2017,3.5,1.2917,83.460928
210089,209056,214144,2014,C,S,2018,4.5,1.7096,83.460928
210060,211038,214030,2014,C,L,2019,5.5,1.0541,83.234132
210097,209047,212043,2012,A,L,2017,5.5,0.9595,83.007336
210060,208009,214107,2014,C,S,2017,3.5,1.272,83.007336
210069,211002,214067,2014,C,S,2018,4.5,0.836,82.78054
210060,211063,214139,2014,C,S,2019,5.5,0.793,82.78054
212012,212105,216073,2016,D,S,2021,5.5,1.1113,82.73523552
209058,210201,213041,2013,B,L,2016,3.5,0.822,82.553744
210015,211067,214094,2014,C,L,2019,5.5,0.6571,82.553744
212053,213003,216030,2016,D,S,2020,4.5,1.752,82.553744
210069,211065,214017,2014,C,S,2018,4.5,1.37,82.326948
210045,210108,214109,2014,C,S,2018,4.5,1.654,82.100152
210069,211094,214084,2014,C,L,2018,4.5,1.143,81.873356
210045,207029,212053,2012,A,S,2015,3.5,1.024,81.64656
209009,211058,213035,2013,B,S,2015,2.5,1.406,81.64656
209029,208036,212048,2012,A,S,2017,5.5,2.2405,81.419764
